Node,RequestDuration,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter,TCPInputPloss
21,238,7059,70.4544,39.0563,0.000708316,12502,15.1641,1.31316,0.0210366
22,238,515,972.583,747.861,0.0116505,793,15.8549,2.67997,0.0113493
23,238,255,633.716,714.998,0.0313725,419,25.3719,15.6458,0.150358
24,238,4267,105.36,71.0954,0.00070307,7438,17.9361,3.16447,0.0338801
25,238,13305,25.4327,5.20497,0.000300639,23574,14.7543,1.27239,0.0174345
26,238,10065,42.7481,18.5132,0.000397417,17889,14.7809,1.21208,0.019062
